"SEO Data","In Stock","Weight","Name","SKU","Formatted Discounted Price","Product Options","Main Media","Description","ID","Discounted Price","Formatted Price","Price","Quantity In Stock","Collections","Inventory Item","Updated Date","Formatted Price Per Unit","Slug","Product Type","Brand","Ribbons","Price Per Unit Data","Media Items","Track Inventory","Custom Text Fields","Price Per Unit","Ribbon","Currency","Product Page Url","Numeric Id","Manage Variants","Discount","Additional Info Sections","Date Created"
,true,0,"In-ear Noise Cancelling & Isolating Wireless Earbuds","48","70₫",{},"wix:image://v1/c22c23_0fa2a9bb97f443658acb747221ff337b~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","d7bf4c10-bb17-4fc7-a15c-308e07618968",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""77da8514-fae3-4d57-a244-5b3568bf052a"",""00000000-000000-000000-000000000001""]","2840b3ef-44e8-b038-5ea3-cf71f89e7697",2024-11-15T17:06:48Z,,"in-ear-noise-cancelling-isolating-wireless-earbuds","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_0fa2a9bb97f443658acb747221ff337b~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_0fa2a9bb97f443658acb747221ff337b~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/in-ear-noise-cancelling-isolating-wireless-earbuds","1720682280898000",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"H1C Indoor Wireless 1080p Network Security Camera","47","70₫",{},"wix:image://v1/c22c23_1fc89607a43a4df9b54dd3a1f9603f25~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","3190eeb5-7907-4d29-9a12-18ce118b47cc",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""00000000-000000-000000-000000000001""]","ce6f114a-86f8-b2d6-65ed-e731ee74b833",2024-11-15T17:06:48Z,,"h1c-indoor-wireless-1080p-network-security-camera","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_1fc89607a43a4df9b54dd3a1f9603f25~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_1fc89607a43a4df9b54dd3a1f9603f25~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/h1c-indoor-wireless-1080p-network-security-camera","1720682280898016",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Journey Glass XD Virtual Reality Headset","46","70₫",{},"wix:image://v1/c22c23_991175ea1f9140648365694757467456~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","988f2347-2e5c-476a-baaa-fc8a9b402d97",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""00000000-000000-000000-000000000001""]","6770dcb8-d1a3-b895-4555-037564bfd268",2024-11-15T17:06:48Z,,"journey-glass-xd-virtual-reality-headset","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_991175ea1f9140648365694757467456~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_991175ea1f9140648365694757467456~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/journey-glass-xd-virtual-reality-headset","1720682280898032",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Turn5 Portable Bluetooth Speaker","51","70₫","{""COLOR"":{""optionType"":""color"",""name"":""COLOR"",""choices"":[{""inStock"":true,""visible"":true,""mainMedia"":null,""description"":""Black"",""mediaItems"":[],""value"":""#000000""},{""inStock"":true,""visible"":true,""mainMedia"":null,""description"":""Blue"",""mediaItems"":[],""value"":""#0000ff""},{""inStock"":true,""visible"":true,""mainMedia"":null,""description"":""Purple"",""mediaItems"":[],""value"":""#8710e9""},{""inStock"":true,""visible"":true,""mainMedia"":null,""description"":""Red"",""mediaItems"":[],""value"":""#e71515""}]}}","wix:image://v1/c22c23_75b7c7a737a0437f8998a42d8a345a85~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","b6343924-bfc1-443e-a556-27c5c9b9ec5f",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""00000000-000000-000000-000000000001""]","49cbc6db-403e-bbc1-5aa9-d83a364613a0",2024-11-15T17:06:48Z,,"turn5-portable-bluetooth-speaker","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_75b7c7a737a0437f8998a42d8a345a85~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_75b7c7a737a0437f8998a42d8a345a85~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""},{""description"":"""",""id"":""c22c23_850b798d34cb4bc38b3831908d88fe1b~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_850b798d34cb4bc38b3831908d88fe1b~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""},{""description"":"""",""id"":""c22c23_5e442e8075524db9b22a9d894cbc1809~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_5e442e8075524db9b22a9d894cbc1809~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""},{""description"":"""",""id"":""c22c23_87ed63dca3d44f239ab102200c1f46a5~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_87ed63dca3d44f239ab102200c1f46a5~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/turn5-portable-bluetooth-speaker","1720682280898048",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Allure 55"" Class LED 4K UHD Smart TV","44","70₫",{},"wix:image://v1/c22c23_6df363bec6fc43dd9d47ed2d34335417~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","95e04719-7323-4a04-a4b6-a7f32aeef9ce",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""00000000-000000-000000-000000000001""]","6a1fb8e6-8cdc-b5fb-5b49-580cd5110631",2024-11-15T17:06:48Z,,"allure-55-class-led-4k-uhd-smart-tv","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_6df363bec6fc43dd9d47ed2d34335417~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_6df363bec6fc43dd9d47ed2d34335417~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/allure-55-class-led-4k-uhd-smart-tv","1720682280898067",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Pilates 16"" Touch Screen Laptop 24GB Memory","43","70₫",{},"wix:image://v1/c22c23_c4329067853e4f94a57afc2a226bd5cf~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","470a9e91-8cef-488a-97a5-894d5a516c83",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""13e5953f-b466-4eeb-8a70-a00ed96f1fe9"",""00000000-000000-000000-000000000001""]","b8f5616e-7310-b775-685a-76b2a5ae937c",2024-11-15T17:06:48Z,,"pilates-16-touch-screen-laptop-24gb-memory","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_c4329067853e4f94a57afc2a226bd5cf~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_c4329067853e4f94a57afc2a226bd5cf~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/pilates-16-touch-screen-laptop-24gb-memory","1720682280898083",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Shel 40"" Class LED Full HD Smart TV","42","85₫",{},"wix:image://v1/c22c23_26dd5ed4d9c34428b4b7423e7fdddf21~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","458c8123-2212-433f-b09e-dcba8526a052",85,"85₫",85,,"[""00000000-000000-000000-000000000001""]","ba737edc-dded-bcc0-4f61-23457ad95fad",2024-11-15T17:06:48Z,,"shel-40-class-led-full-hd-smart-tv","physical",,[],,"[{""description"":"""",""id"":""c22c23_26dd5ed4d9c34428b4b7423e7fdddf21~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_26dd5ed4d9c34428b4b7423e7fdddf21~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,,"VND","/product-page/shel-40-class-led-full-hd-smart-tv","1720682280898099",false,"{""type"":""NONE"",""value"":0}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"JP Gaming Laptop 15.6"" Laptop 256GB","41","70₫",{},"wix:image://v1/c22c23_3ab3d3acd73843deba1dece7b2254e2f~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","bda7d9aa-7242-44cb-b535-e252fbfc914e",70,"85₫",85,,"[""ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3"",""77da8514-fae3-4d57-a244-5b3568bf052a"",""13e5953f-b466-4eeb-8a70-a00ed96f1fe9"",""00000000-000000-000000-000000000001""]","42582655-8dbd-bb34-4aca-1dad04036eb1",2024-11-15T17:06:48Z,,"jp-gaming-laptop-15-6-laptop-256gb","physical",,"[{""text"":""SALE""}]",,"[{""description"":"""",""id"":""c22c23_3ab3d3acd73843deba1dece7b2254e2f~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_3ab3d3acd73843deba1dece7b2254e2f~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,"SALE","VND","/product-page/jp-gaming-laptop-15-6-laptop-256gb","1720682280898113",false,"{""type"":""AMOUNT"",""value"":15}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Shak Outdoor Spotlight Security Camera","40","85₫",{},"wix:image://v1/c22c23_717f42d8a3d648eab5245dd2025d29ac~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","4080be72-7de2-44e1-b784-2eac110dd323",85,"85₫",85,,"[""00000000-000000-000000-000000000001""]","bf7f418d-821d-bb1e-487b-d153eef22cdc",2024-11-15T17:06:48Z,,"shak-outdoor-spotlight-security-camera","physical",,[],,"[{""description"":"""",""id"":""c22c23_717f42d8a3d648eab5245dd2025d29ac~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_717f42d8a3d648eab5245dd2025d29ac~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,,"VND","/product-page/shak-outdoor-spotlight-security-camera","1720682280898129",false,"{""type"":""NONE"",""value"":0}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
,true,0,"Wave Mini 4 Quadcopter With Remote Controller","39","85₫",{},"wix:image://v1/c22c23_2d5a87c251274b8083356fd1e61cf68d~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","<p>I'm a product description. This is a great place to ""sell"" your product and grab buyers' attention. Describe your product clearly and concisely. Use unique keywords. Write your own description instead of using manufacturers' copy.</p>","46077c85-64d1-4564-9345-6ebf5f03f11e",85,"85₫",85,,"[""00000000-000000-000000-000000000001""]","b9f8837a-9b2e-ba9b-6cba-9140a0fc0ee1",2024-11-15T17:06:48Z,,"wave-mini-4-quadcopter-with-remote-controller","physical",,[],,"[{""description"":"""",""id"":""c22c23_2d5a87c251274b8083356fd1e61cf68d~mv2.jpg"",""link"":null,""src"":""wix:image://v1/c22c23_2d5a87c251274b8083356fd1e61cf68d~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000"",""title"":"""",""type"":""Image""}]",false,[],,,"VND","/product-page/wave-mini-4-quadcopter-with-remote-controller","1720682280898143",false,"{""type"":""NONE"",""value"":0}","[{""title"":""Chi tiết sản phẩm"",""description"":""<p>I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.</p>""},{""title"":""Chính sách Bảo hành & Đổi trả"",""description"":""<p>I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.</p>""},{""title"":""Thông tin Giao hàng"",""description"":""<p>I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.</p>""}]",2024-07-11T07:18:00Z
